map,method,all_med,bad_med,bnd_med,gross_pct
140,noisy (no filter),0.519692,41.821380,0.584861,4.9255
140,unet,0.070017,1.058999,0.093077,0.3784
141,noisy (no filter),0.531869,42.065036,0.577754,4.9561
141,unet,0.070044,1.268845,0.094495,0.4761
142,noisy (no filter),0.529602,42.727243,0.585993,4.9622
142,unet,0.070561,1.256801,0.088381,0.4089
143,noisy (no filter),0.530121,42.620699,0.570522,4.9805
143,unet,0.071042,1.236573,0.092213,0.3967
144,noisy (no filter),0.531546,42.739485,0.584606,4.9622
144,unet,0.071838,1.244873,0.094575,0.4822
145,noisy (no filter),0.528488,42.689260,0.595211,4.9744
145,unet,0.073083,1.424539,0.094465,0.5127
146,noisy (no filter),0.522625,42.676660,0.564703,4.9744
146,unet,0.070751,1.149470,0.091781,0.4272
147,noisy (no filter),0.523581,42.766091,0.581268,4.9683
147,unet,0.072509,1.283354,0.094712,0.3784
148,noisy (no filter),0.540056,42.149284,0.596520,4.9866
148,unet,0.071913,1.294551,0.093617,0.5188
149,noisy (no filter),0.523401,42.565455,0.574356,4.9316
149,unet,0.068955,1.108887,0.090022,0.5432
150,noisy (no filter),0.530446,42.118456,0.579676,4.9683
150,unet,0.072212,1.286037,0.095403,0.4822
151,noisy (no filter),0.528028,42.436327,0.574884,4.9500
151,unet,0.069630,1.186359,0.091712,0.4761
152,noisy (no filter),0.526881,42.295972,0.563132,4.9622
152,unet,0.072048,1.322812,0.095822,0.5676
153,noisy (no filter),0.533841,42.467043,0.575021,4.9561
153,unet,0.069898,1.147974,0.091072,0.3296
154,noisy (no filter),0.524904,42.654159,0.555676,4.9744
154,unet,0.071069,1.162875,0.094202,0.4700
155,noisy (no filter),0.526460,42.590542,0.577585,4.9622
155,unet,0.069594,1.039006,0.092461,0.3906
156,noisy (no filter),0.521185,42.541140,0.576588,4.9866
156,unet,0.066805,1.143159,0.088921,0.4333
157,noisy (no filter),0.525425,42.176717,0.580195,4.9683
157,unet,0.071304,1.160632,0.092475,0.4822
158,noisy (no filter),0.528994,43.108270,0.589058,4.9683
158,unet,0.071421,1.138586,0.092242,0.4089
159,noisy (no filter),0.524214,42.440758,0.562790,4.9805
159,unet,0.072515,1.263949,0.095525,0.5798
160,noisy (no filter),0.522087,42.519680,0.584994,4.9438
160,unet,0.070620,1.143109,0.091828,0.4395
161,noisy (no filter),0.522214,42.101766,0.556297,4.9683
161,unet,0.073504,1.536851,0.094512,0.6409
162,noisy (no filter),0.532276,42.295998,0.575760,4.9500
162,unet,0.072639,1.360028,0.097623,0.7019
163,noisy (no filter),0.520700,42.427242,0.561118,4.9561
163,unet,0.071779,1.290102,0.092822,0.6836
164,noisy (no filter),0.524485,42.816242,0.583860,4.9622
164,unet,0.072421,1.120844,0.091151,0.4700
165,noisy (no filter),0.521995,42.433314,0.551745,4.9561
165,unet,0.070254,1.076423,0.092105,0.4333
166,noisy (no filter),0.531067,42.209780,0.574557,4.9866
166,unet,0.069968,1.078947,0.093615,0.3784
167,noisy (no filter),0.524404,42.527441,0.566612,4.9805
167,unet,0.068235,1.148469,0.090406,0.4639
168,noisy (no filter),0.535645,42.961266,0.598120,4.9500
168,unet,0.070172,1.200436,0.090628,0.4150
169,noisy (no filter),0.524970,42.698188,0.568795,4.9500
169,unet,0.070494,1.180526,0.092202,0.4944
170,noisy (no filter),0.535110,43.025612,0.595492,4.9561
170,unet,0.069157,1.266867,0.091846,0.4211
171,noisy (no filter),0.526650,41.899727,0.574320,4.9744
171,unet,0.071943,1.315799,0.096985,0.5737
172,noisy (no filter),0.525935,42.496229,0.581538,4.9683
172,unet,0.068247,0.984720,0.091259,0.4395
173,noisy (no filter),0.525268,41.498609,0.579577,4.9744
173,unet,0.071940,1.082726,0.093304,0.4150
174,noisy (no filter),0.533914,42.398512,0.583948,4.9744
174,unet,0.070176,1.357716,0.093637,0.5981
175,noisy (no filter),0.532775,42.583029,0.571237,4.9866
175,unet,0.071769,1.235944,0.095366,0.4578
176,noisy (no filter),0.522981,41.872902,0.575759,4.9683
176,unet,0.072399,1.203788,0.097633,0.5432
177,noisy (no filter),0.519869,43.144363,0.558638,4.9805
177,unet,0.069805,1.196449,0.091550,0.5859
178,noisy (no filter),0.519861,42.142951,0.562709,4.9744
178,unet,0.071064,1.101170,0.094691,0.4333
179,noisy (no filter),0.523597,43.041540,0.583900,4.9622
179,unet,0.066711,1.119239,0.092540,0.4883
180,noisy (no filter),0.528588,43.308813,0.591854,4.9866
180,unet,0.071005,1.206570,0.094349,0.4272
181,noisy (no filter),0.529579,42.178202,0.565304,4.9683
181,unet,0.066923,1.140479,0.092777,0.3906
182,noisy (no filter),0.527872,42.218800,0.560896,4.9683
182,unet,0.068670,1.278625,0.088465,0.6531
183,noisy (no filter),0.521772,41.575478,0.563238,4.9622
183,unet,0.069575,1.109787,0.091031,0.5188
184,noisy (no filter),0.522426,41.776990,0.567621,4.9561
184,unet,0.070994,1.248359,0.093675,0.3906
185,noisy (no filter),0.526060,42.376207,0.557875,4.9561
185,unet,0.071730,0.989855,0.091316,0.4028
186,noisy (no filter),0.531988,41.010607,0.566375,4.9683
186,unet,0.070658,1.165926,0.093614,0.4333
187,noisy (no filter),0.530918,42.513132,0.584770,4.9744
187,unet,0.069765,1.191642,0.090298,0.4944
188,noisy (no filter),0.526738,42.035737,0.572789,4.9500
